x1	x2	x3	error
1	-1	1	-
0.16	-1.78	0.93	0.47191
0.358	-2.06733	0.687333	0.138987
0.561067	-2.41898	0.409978	0.145369
0.797809	-2.82709	0.0875526	0.144356
1.07289	-3.30133	-0.287108	0.143652
1.39253	-3.85241	-0.72247	0.143048
1.76396	-4.49278	-1.22837	0.142532
2.19558	-5.23689	-1.81624	0.142091
2.69712	-6.10157	-2.49935	0.141714
3.27992	-7.10634	-3.29313	0.141391
3.95715	-8.27391	-4.21553	0.141114
4.7441	-9.63064	-5.28737	0.140877
5.65855	-11.2072	-6.53287	0.140673
6.72116	-13.0392	-7.98017	0.140498
7.95593	-15.168	-9.66195	0.140348
9.39076	-17.6417	-11.6162	0.140219
11.0581	-20.5162	-13.8871	0.140109
12.9955	-23.8564	-16.5259	0.140013
15.2468	-27.7378	-19.5923	0.139932
17.8629	-32.248	-23.1555	0.139861
20.9029	-37.489	-27.2959	0.139801
24.4354	-43.5791	-32.1072	0.139749
28.5402	-50.656	-37.6981	0.139704
33.31	-58.8794	-44.1947	0.139666
38.8527	-68.4352	-51.744	0.139633
45.2934	-79.5392	-60.5163	0.139604
52.7776	-92.4423	-70.7099	0.13958
61.4744	-107.436	-82.5551	0.139559
71.5803	-124.859	-96.3195	0.139541
83.3234	-145.104	-112.314	0.139525
96.9692	-168.63	-130.9	0.139512
112.826	-195.968	-152.497	0.1395
131.252	-227.735	-177.593	0.13949
152.663	-264.648	-206.755	0.139482
177.543	-307.542	-240.643	0.139474
206.454	-357.386	-280.02	0.139468
240.049	-415.306	-325.778	0.139462
279.088	-482.609	-378.949	0.139458
324.451	-560.818	-440.734	0.139454
377.164	-651.697	-512.53	0.13945
438.418	-757.3	-595.959	0.139447
509.595	-880.014	-692.905	0.139445
592.305	-1022.61	-805.557	0.139443
688.416	-1188.31	-936.462	0.139441
800.098	-1380.85	-1088.58	0.139439
929.875	-1604.59	-1265.33	0.139438
1080.68	-1864.58	-1470.73	0.139436
1255.92	-2166.7	-1709.41	0.139435
1459.54	-2517.76	-1986.75	0.139434
1696.16	-2925.7	-2309.03	0.139434
1971.12	-3399.74	-2683.53	0.139433
2290.62	-3950.57	-3118.7	0.139432
2661.89	-4590.66	-3624.38	0.139432
3093.32	-5334.45	-4211.98	0.139432
3594.64	-6198.75	-4894.79	0.139431
4177.19	-7203.08	-5688.23	0.139431
4854.11	-8370.13	-6610.22	0.139431
5640.72	-9726.27	-7681.59	0.13943
6554.77	-11302.1	-8926.55	0.13943
7616.91	-13133.3	-10373.2	0.13943
8851.14	-15261.2	-12054.3	0.13943
10285.3	-17733.8	-14007.7	0.13943
11951.9	-20607	-16277.6	0.13943
13888.5	-23945.7	-18915.2	0.139429
16138.8	-27825.4	-21980.2	0.139429
18753.8	-32333.7	-25541.8	0.139429
21792.4	-37572.4	-29680.5	0.139429
25323.3	-43659.8	-34489.7	0.139429
29426.3	-50733.6	-40078.1	0.139429
34194.1	-58953.4	-46571.9	0.139429
39734.3	-68505	-54117.8	0.139429
46172.2	-79604.1	-62886.3	0.139429
53653.1	-92501.5	-73075.4	0.139429
62346.1	-107489	-84915.4	0.139429
72447.5	-124904	-98673.7	0.139429
84185.5	-145141	-114661	0.139429
